Title,Location,Company,Salary_per_year,Summary
Ingénieur(e) Vérification Emulation ASIC /FPGoC (H/F),Toulouse (31),Derichebourg Aeronautics Recruitment,None,"Nous recherchons pour notre client, un groupe international opérant dans les domaines de l'aérospatial un Ingénieur Vérification Emulation ASIC/FPGA/SoC H/F."
INGENIEUR SIMULATION EMULATION ASIC H/F,Toulouse (31),FORCE INTERIM,None,La société FORCE INTERIM accompagne des donneurs d’ordres de tout secteur et est spécialisée dans le domaine du travail temporaire et du recrutement.
Développeur Back-end (NodeJS) - H/F,Paris 11e (75),Sport Heroes,50000,Kubernetes / Docker / Aws / Mongodb / Nodejs.
Ingénieur(e) Conception FPGA,Toulouse (31),LGM,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
Doctorant conception et caractérisation ASIC pour l'expérience CMS HGCAL (H/F),Palaiseau (91),CNRS,25620,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
Ingénieur(e) Effets Radiation H/F,Buc (78),3D PLUS SA,None,"3D PLUS est une société française de 270 personnes basée en Ile de France, en forte croissance depuis 1995, et réalisant plus de 90% de son chiffre d'affaires à…"
Manager / Superviseur Magasin Ile de France,Paris (75),ASICS,23004,Rattachement hiérarchique : Responsable de Magasin.
manager,Paris (75),asics,24000,"Vous aimez le sport, avez de l’expérience en management, vous secondez le Responsable de magasin dans l’ensemble de ses missions."
Concepteur FPGA H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
INGENIEUR EN SECURITE DE L’INFORMATION JUNIOR (H/F),Paris (75),Airbus,None,"Airbus is a global leader in aeronautics, space and related services."
Ingénieur design électronique VHDL FPGA pour équipements spatiaux (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
ASIC DFT Synthesis Engineer,Paris (75),Sequans,None,"In the BB IC team, you will be responsible for writing timing constraints, running synthesis and implementing DFT (including scan, MBIST and IP testing) of part…"
